category,finInc,nonFinInc,categoryType,finIncWt,nonFinIncWt
Decision making about assets,0,0,Decision making about assets,8.2,91.8
Land,31.1,19.3,Decision making about assets,8.2,91.8
House,36.2,21.8,Decision making about assets,8.2,91.8
Major appliances,55.3,33.1,Decision making about assets,8.2,91.8
Machinery,27.5,15.1,Decision making about assets,8.2,91.8
Vehicle,26.5,11.3,Decision making about assets,8.2,91.8
Livestock,20.5,17.4,Decision making about assets,8.2,91.8
Jewellery,48.3,27.5,Decision making about assets,8.2,91.8
Other property,17.3,9.65,Decision making about assets,8.2,91.8
Business/ stocks,14.1,8.8,Decision making about assets,8.2,91.8
Control over cash earnings,0,0,Control over cash earnings,14.5,85.5
Herself,52,38.7,Control over cash earnings,14.5,85.5
Jointly with Husband,54.3,59.6,Control over cash earnings,15,85
Decision making about marriage,0,0,Decision making about marriage,8.7,91.3
Herself,4.3,1.3,Decision making about marriage,8.7,91.3
With Husband,5.44,2.4,Decision making about marriage,8.7,91.3
